0,ize3lkeNiR,I think we are trying to list out the last name of the athletes that are in countries that neither have competed yet or none of their athletes have ranked in the top 3 so far.,2021-09-05 16:35,0
1,WJrWAidLZ5,Yes Elaine is correct in this response.,2021-09-05 20:45,0
2,ize3lkeNiR,The relational schema is the structure and design of the relation such as the attribute list. The relation state is like the table content at any given moment.,2021-09-05 13:35,3
3,A1Kcf8Z1u3,You can draw an analogy between the relational schema and classes in Java. Then you can think of relation state as the objects that are defined at that particular time.,2021-09-05 15:45,3
4,ize3lkeNiR,The numbers seem to be incorrect and it seems the points were posted?,2021-10-15 13:32,4
5,A1Kcf8Z1u3,Sorry about the mistake the correct question items were posted now.,2021-10-15 20:02,4
6,A3mMrNEFsy,Where can we find the spreadsheet?,2021-10-15 23:32,4
7,tmt3aPs20s,The spreadsheet is under the Assignment2 folder.,2021-10-15 23:59,4
8,A3mMrNEFsy,Thanks Nikhil!,2021-10-16 00:11,4
9,A1Kcf8Z1u3,You can assume that each city has a distance name so you would consider Atlanta GA to be the same name as Atlanta FL,2021-10-09 10:24,5
10,Xo3aGKAsfE,Does this apply for Q9 as well?,2021-10-25 13:45,5
11,,Not sure which part you are asking but if its whether Beaverton only exists in OR then no.,2021-10-25 18:21,5
12,PiQvBSPut9,You can use temporal relations (see WITH and FROM) to do this rather than create temporary tables,2021-10-16 06:23,6
13,qBhsb9AT1D,I believe just choosing a random card from the deck to deal out cards is enough.,2021-10-01 17:41,9
14,A1Kcf8Z1u3,As long as there is some point of randomness that is involved it will be sufficient.,2021-10-01 18:51,9
15,YXCMIivcy6,Should we consider the situation when the deck is running out of cards?,2021-10-03 04:32,9
16,cp5asEx6KR,Yes your application should gracefully handle this situation.,2021-10-03 08:47,9
17,wUSNkrt2i7,I think there's no specific rule in Blackjack for when an ace is counted as a 1 or an 11. I assumed we have to keep track of the total score in both cases: when the ace is a 1 and when the ace is an 11.,2021-10-01 20:23,10
18,RxNqRHaaoI,The general rule of thumb is that the Ace will take on the value of whatever will help the holder the most,2021-10-01 23:22,10
19,YXCMIivcy6,Take advantage of what the method move() returns. It is true in certain situations and false in others. You can then push depending on the value.,2021-10-14 17:11,11
20,RwKSObZt8b,The move method checks if a move is legal for you. You should use this method to change the behavior of your code based on whether or not it returns true or false.,2021-10-15 05:19,11
21,qBhsb9AT1D,This actually happened to me as well on the previous assignment. I was told that I wouldn't be penalized so I think you'll be fine,2021-10-16 10:04,12
22,QVsfnLS8nP,Resubmissions with the same filename on Canvas will automatically add a -1 etc to the files. The student answer is correct in that you will not be penalized for this.,2021-10-16 12:01,12
23,wUSNkrt2i7,Exceptions stop execution,2021-10-31 20:01,13
24,v9ksRoAENe,I think the bowtie means natural join,2021-02-04 07:05,14
25,JulFHBBgP9,Everything up until today's lecture can be included as material on the exam,2021-04-09 20:26,15
26,A1Kcf8Z1u3,Use homebrew to install Postgres on Mac and Linux. Download the windows installer to install on Windows.,2021-03-21 10:59,16
27,OhfDW5FQet,I think it does matter. I must be after the WHERE clause and before the HAVING; LIMIT; and ORDER BY,2021-03-29 04:47,17
28,A1Kcf8Z1u3,Hanna is correct. SQL first executes the FROM; then WHERE; before finally performing the GROUP BY clause,2021-03-29 09:35,17
29,JulFHBBgP9,Please submit a regrade request via email to me with the email header [CS377],2021-04-25 13:39,18
30,Rjuqf7P3nX,Have you tried reloading the page or clearing your cache?,2021-04-10 17:01,19
31,QVsfnLS8nP,Try cloud.google.com,2021-04-17 16:11,20
32,JulFHBBgP9,Everything covered in the class can appear on the final exam,2021-05-01 05:48,21
33,JulFHBBgP9,2NF looks at partial functional dependency while 3NF ensures no non-prime attribute functionally determines another non-prime attribute,2021-04-26 07:35,22
34,qjAClhRo8T,Why is database normalization important?,2021-04-26 08:11,22
35,Rjuqf7P3nX,Database normalization is important because it's a rite of passage into the database community,2021-04-26 12:41,22
36,RxNqRHaaoI,I like Sublime Text Editor and using the command line to compile,2020-09-15 08:01,23
37,RwKSObZt8b,Have you tried Eclipse? It's the best!,2020-09-15 08:23,23
38,AnRRwDoMFm,What about Netbeans? It was originally part of the JDK.,2020-09-15 11:04,23
39,ECk9NPOnC1,IntelliJ is also another useful IDE,2020-09-15 11:05,23
40,JulFHBBgP9,Microsoft Visual Studio has a student developer pack as well.,2020-09-15 11:55,23
41,ECk9NPOnC1,As long as its within reasonable time frames you will not be deducted points.,2020-10-13 22:55,24
42,ECk9NPOnC1,You may want to verify that you are appropriately updating your variables. Try using System.out.println.,2020-10-28 05:19,25
43,JulFHBBgP9,You may want to explore different shuffle variants that are found on Wikipedia.,2020-11-12 14:10,26
44,JulFHBBgP9,You may want to rewatch the lecture 23 and reread the slides to see how this is solved for the general case.,2020-11-28 09:18,27
45,JulFHBBgP9,Please try using the GCP instance to avoid having to implement your local copy.,2020-02-28 07:41,28
46,fC8CoZyN8g,No it doesn't matter so long as it can functionally browse the database.,2020-04-01 02:35,29
47,tmt3aPs20s,Do I need to sanitize the user input?,2020-04-01 11:05,29
48,JulFHBBgP9,You can assume that we will be reasonable users and not try to hack your system.,2020-04-01 14:15,29
49,WJrWAidLZ5,I believe we should be using JDK 8.0,2020-04-02 19:47,30
50,JulFHBBgP9,Yes they have been uploaded onto Canvas.,2020-04-10 14:49,31
51,JulFHBBgP9,No there won't be any solutions for the sample final problems.,2020-05-02 05:37,32
