C+,0Bb2zMzQAL,5
C-,0nYGfSzH52,0
A,0nYGfSzH52,2
B,1aRjlUAYpO,5
IP,1aRjlUAYpO,8
A,2ruNWPmicg,3
D+,2ruNWPmicg,4
A,4D8d5NFQey,0
B,4D8d5NFQey,2
IP,4RygfhpS1h,7
D,5xTn7laQAz,3
D,5xTn7laQAz,4
IP,77JVECgA9Y,7
IP,82rggZxf5c,7
B,8BdlWK9mvn,0
B,8BdlWK9mvn,2
C+,8uv1aK9btU,5
D+,8uv1aK9btU,6
B-,9mCMQL1myp,3
D+,9mCMQL1myp,4
IP,9wHtriXf8s,7
C,A1Kcf8Z1u3,0
A,A1Kcf8Z1u3,2
IP,A3mMrNEFsy,8
C,aDQQtN7BnB,1
C-,aDQQtN7BnB,2
A,aKtF7xlCj0,3
C+,aKtF7xlCj0,4
B+,AnRRwDoMFm,5
D,AnRRwDoMFm,6
IP,AyZm6kgtLQ,7
A,bCSKEQsp82,5
IP,bCSKEQsp82,8
IP,bSZa17FK2l,8
D,cp5asEx6KR,5
A,cp5asEx6KR,6
B,DlK1RDF6DZ,1
B-,ECk9NPOnC1,0
C,ECk9NPOnC1,2
B,EIBGkZJ8LU,5
C,EIBGkZJ8LU,6
A-,erGZXNCSa8,3
B,erGZXNCSa8,4
B,EWUS9AaKts,1
A-,F8SGo1rfbJ,1
B-,F8SGo1rfbJ,2
A,fe20lUruvB,5
A,fe20lUruvB,6
IP,ffD2jzc574,7
C-,FGVfybCruk,3
IP,fk7USWbA60,8
A,g0aGB2MNq6,3
B-,g0aGB2MNq6,4
B,hEp6l3yRkB,0
D,hEp6l3yRkB,2
A,I8k5HwpLlU,5
B-,I8k5HwpLlU,6
A,iep724zbM3,1
D+,ixYZCGpl5D,1
B+,ixYZCGpl5D,2
IP,ize3lkeNiR,8
IP,j3BjhOJA0K,7
A,JEdJCRTwMu,1
B+,JEdJCRTwMu,2
C-,k4hG2bKBi2,5
B-,k4hG2bKBi2,6
C+,Ki437ImMiB,3
A-,Ki437ImMiB,4
B,kJQAvxlegv,5
B+,kJQAvxlegv,6
B-,l8Ck5AEii7,5
B,l8Ck5AEii7,6
D,l8fb19WIds,1
A,LbOIaCTwOR,1
C-,LbOIaCTwOR,2
C-,lKOmgoDP5M,5
IP,loWO7ep40W,7
IP,LRH33DL7sR,7
C+,MMNPTkNHZg,5
B+,MMNPTkNHZg,6
B-,MvygDkC5GZ,3
C+,nlNo3Ifie2,5
B,nlNo3Ifie2,6
C-,OcbMCqoATE,3
B+,OcbMCqoATE,4
B,OhfDW5FQet,5
C,OhfDW5FQet,6
IP,Oojd410rxz,7
A,P80TDV5kec,3
D,P80TDV5kec,4
C,pAA8hhbaAf,5
D,pAA8hhbaAf,6
B-,piajOfWMIT,5
B+,PiQvBSPut9,3
C,PiQvBSPut9,4
C-,pSE2USVUGe,3
C,pSE2USVUGe,4
A,q24FfeogSR,5
IP,q24FfeogSR,8
D+,Q5zYQSo07T,0
A,Q5zYQSo07T,2
IP,qBhsb9AT1D,7
D+,qjAClhRo8T,5
B+,qjAClhRo8T,6
A,QrcaEXMLnx,3
A,qSaWq5Khmt,1
C-,qSaWq5Khmt,2
A,QVsfnLS8nP,5
A,QVsfnLS8nP,6
IP,RCkC4TjYNZ,7
A,Rjuqf7P3nX,0
A,Rjuqf7P3nX,2
B,rRMSF0EH7d,1
B-,RtDWbzvtoo,5
IP,RtDWbzvtoo,8
B+,RwKSObZt8b,5
D+,RwKSObZt8b,6
A,RxNqRHaaoI,5
C,RxNqRHaaoI,6
C+,s8jX7v1r9L,1
D+,s8jX7v1r9L,2
IP,SGDgfAoZn8,7
C+,stB2damzF1,0
B+,stB2damzF1,2
IP,Sx6sqg2Av5,7
B-,tmil3gYi8I,0
A,tmil3gYi8I,2
B+,tmt3aPs20s,3
C+,tmt3aPs20s,4
D,ujARr06uDs,5
IP,ujARr06uDs,8
A,UPLEFa48ob,3
A,UPLEFa48ob,4
IP,UuUxEvmxXO,7
D+,UX8dL9oWOH,3
D,UX8dL9oWOH,4
C,uZfhzJCf3Q,3
D+,uZfhzJCf3Q,4
C+,v9ksRoAENe,5
D,v9ksRoAENe,6
C+,VkA4Ln4RP8,3
C-,VkA4Ln4RP8,4
D+,vMCwbZJ5UI,3
D,vMCwbZJ5UI,4
D+,vrSPzDaBog,0
A,vrSPzDaBog,2
C,Vv5mvmR93y,3
A,Vv5mvmR93y,4
B+,VxX7KCsBEi,3
D+,w4xX1lvTG7,1
D+,w4xX1lvTG7,2
C,WJrWAidLZ5,1
D,WJrWAidLZ5,4
C-,WUMHFJy3AG,5
IP,WUMHFJy3AG,8
IP,wUSNkrt2i7,7
C-,WVztzxaqG1,5
A,WVztzxaqG1,6
IP,WW56HAP2R1,7
IP,Xo3aGKAsfE,8
B+,xrWlqSyLPV,5
C+,xshALL98rR,6
A,ybgAEICak2,3
C+,yVEE6glmyP,0
B,yVEE6glmyP,2
IP,YXCMIivcy6,7
IP,zMdmtuvTDn,7
